,Competition Name,Gender,Governing Body,First Season,Last Season,Tier,Awards,Country
193,Czech First League,M,,2009-2010,2025-2026,,,czCZE
194,Danish Superliga,M,,2003-2004,2025-2026,,,dkDEN
195,A-Liga,F,,2019-2020,2025-2026,,,dkDEN
196,Liga Profesional Ecuador,M,,2014,2026,,,ecECU
197,Premier League,M,,1888-1889,2025-2026,,"Premier League Golden Boot,Premier League Golden Glove,Premier League Player of the Season,Premier League Young Player of the Season",engENG
198,FA Women's Super League,F,,2017,2025-2026,,,engENG
199,La Liga,M,,1988-1989,2025-2026,,"La Liga Best Player,Trofeo Alfredo Di Stéfano",esESP
200,Liga F,F,,2022-2023,2025-2026,,,esESP
201,Veikkausliiga,M,,2003,2026,,,fiFIN
202,Competition Name,Gender,,First Season,Last Season,,Awards,Country
203,Ligue 1,M,,1995-1996,2025-2026,,Ligue 1 Male Player of the Year,frFRA
204,Première Ligue,F,,2017-2018,2025-2026,,Ligue 1 Female Player of the Year,frFRA
205,Fußball-Bundesliga,M,,1988-1989,2025-2026,,,deGER
206,Frauen-Bundesliga,F,,2016-2017,2025-2026,,,deGER
207,Super League Greece,M,,2000-2001,2025-2026,,Best Greek Player (Superleague),grGRE
208,Nemzeti Bajnokság I,M,,2005-2006,2025-2026,,,huHUN
209,Indian Super League,M,,2014,2026,,,inIND
210,League of Ireland Premier Division,M,,2014,2026,,,ieIRL
211,Persian Gulf Pro League,M,,2014-2015,2025-2026,,Iranian Player of the Year,irIRN
212,Serie A,M,,1988-1989,2025-2026,,"Serie A Footballer of the Year,Serie A Italian Footballer of the Year",itITA
213,Serie A,F,,2018-2019,2025-2026,,,itITA
214,J1 League,M,,2014,2025,,Japan J.League Player of the Year,jpJPN
215,Women Empowerment League,F,,2021-2022,2025-2026,,,jpJPN
216,K League 1,M,,2014,2026,,"South Korean K League 1 MVP,South Korean K League Players' Player of the Year",krKOR
217,Saudi Pro League,M,,2014-2015,2025-2026,,,saKSA
218,Liga MX,M,,2003-2004,2025-2026,,Mexico Balon de Oro (Liga MX),mxMEX
219,Eredivisie,M,,2000-2001,2025-2026,,,nlNED
220,Eredivisie Vrouwen,F,,2018-2019,2025-2026,,Eredivisie Golden Shoe,nlNED
221,Eliteserien,M,,2000,2026,,,noNOR
222,Toppserien,F,,2017,2026,,,noNOR
223,APF División de Honor,M,,2014,2026,,,pyPAR
224,Liga 1 de Fútbol Profesional,M,,2014,2026,,,pePER
225,Ekstraklasa,M,,2002-2003,2025-2026,,,plPOL
226,Primeira Liga,M,,2000-2001,2025-2026,,Portuguese Best Player,ptPOR
227,Liga I,M,,2006-2007,2025-2026,,,roROU
228,Competition Name,Gender,,First Season,Last Season,,Awards,Country
229,South African Premiership,M,,2014-2015,2025-2026,,,zaRSA
230,Russian Premier League,M,,2001,2025-2026,,,ruRUS
231,Scottish Premiership,M,,2000-2001,2025-2026,,"PFA Scotland Players' Player of the Year,Scottish Premier League Player of the Year",sctSCO
232,Serbian SuperLiga,M,,2008-2009,2025-2026,,,rsSRB
233,Swiss Super League,M,,2003-2004,2025-2026,,,chSUI
234,Swiss Women's Super League,F,,2021-2022,2025-2026,,,chSUI
235,Allsvenskan,M,,2001,2026,,,seSWE
236,Damallsvenskan,F,,2017,2026,,,seSWE
237,Süper Lig,M,,2001-2002,2025-2026,,,trTUR
238,Ukrainian Premier League,M,,2003-2004,2025-2026,,Ukrainian Komanda Footballer of the Year,uaUKR
239,Liga AUF Uruguaya,M,,2014-2015,2026,,,uyURU
240,Major League Soccer,M,,1996,2026,,MLS MVP Award,usUSA
241,National Women's Soccer League,F,,2013,2026,,"NWSL Defender of the Year,NWSL Goalkeeper of the Year,NWSL Golden Boot,NWSL Midfielder of the Year,...",usUSA
242,Women's Professional Soccer,F,,2009,2011,,,usUSA
243,Women's United Soccer Association,F,,2001,2003,,,usUSA
244,Venezuelan Primera División,M,,2014-2015,2026,,,veVEN
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,,,,,,,
402,,,,,,,,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,,
406,,,,,,,,
407,,,,,,,,
408,,,,,,,,
409,,,,,,,,
410,,,,,,,,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,,,,,,
421,,,,,,,,
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
425,,,,,,,,
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,,
436,,,,,,,,
437,,,,,,,,
438,,,,,,,,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,,,,,,,,
446,,,,,,,,
447,,,,,,,,
448,,,,,,,,
449,,,,,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,,,
460,,,,,,,,
461,,,,,,,,
462,,,,,,,,
463,,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,,
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,,,,,
475,,,,,,,,
476,,,,,,,,
477,,,,,,,,
478,,,,,,,,
479,,,,,,,,
480,,,,,,,,
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,,,,,,,,
487,,,,,,,,
488,,,,,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,,,,,,,,
493,,,,,,,,
494,,,,,,,,
495,,,,,,,,
496,,,,,,,,
497,,,,,,,,
498,,,,,,,,
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,,,,,
523,,,,,,,,
524,,,,,,,,
525,,,,,,,,
526,,,,,,,,
527,,,,,,,,
528,,,,,,,,
529,,,,,,,,
530,,,,,,,,
531,,,,,,,,
532,,,,,,,,
533,,,,,,,,
534,,,,,,,,
535,,,,,,,,
536,,,,,,,,
537,,,,,,,,
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,,,,,,,,
542,,,,,,,,
543,,,,,,,,
544,,,,,,,,
545,,,,,,,,
546,,,,,,,,
547,,,,,,,,
548,,,,,,,,
549,,,,,,,,
550,,,,,,,,
551,,,,,,,,
552,,,,,,,,
553,,,,,,,,
554,,,,,,,,
555,,,,,,,,
556,,,,,,,,
557,,,,,,,,
558,,,,,,,,
559,,,,,,,,
560,,,,,,,,
561,,,,,,,,
562,,,,,,,,
563,,,,,,,,
564,,,,,,,,
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,,
569,,,,,,,,
570,,,,,,,,
571,,,,,,,,
572,,,,,,,,
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,,
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,,
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,,
589,,,,,,,,
590,,,,,,,,
591,,,,,,,,
592,,,,,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,,
606,,,,,,,,
607,Challenger Pro League,M,,2014-2015,2025-2026,,,beBEL
608,Campeonato Brasileiro Série B,M,,2014,2026,,,brBRA
609,EFL Championship,M,,2001-2002,2025-2026,,,engENG
610,Spanish Segunda División,M,,2001-2002,2025-2026,,,esESP
611,Ligue 2,M,,2009-2010,2025-2026,,,frFRA
612,2. Fußball-Bundesliga,M,,2003-2004,2025-2026,,,deGER
613,I-League,M,,2013-2014,2026,,,inIND
614,Serie B,M,,2001-2002,2025-2026,,,itITA
615,J2 League,M,,2014,2025,,,jpJPN
616,Eerste Divisie,M,,2007-2008,2025-2026,,,nlNED
617,Scottish Championship,M,,2007-2008,2025-2026,,,sctSCO
618,Superettan,M,,2006,2026,,,seSWE
619,North American Soccer League,M,,2011,2017,,,usUSA
620,USL Championship,M,,2011,2026,,,usUSA
621,USL First Division,M,,2004,2009,,,usUSA
622,USSF Division 2 Professional League,M,,2010,2010,,,usUSA
623,,,,,,,,
624,,,,,,,,
625,,,,,,,,
626,,,,,,,,
627,,,,,,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,,
631,,,,,,,,
632,,,,,,,,
633,,,,,,,,
634,,,,,,,,
635,,,,,,,,
636,,,,,,,,
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,,
641,,,,,,,,
642,,,,,,,,
643,,,,,,,,
644,,,,,,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,,,,,,,
650,,,,,,,,
651,,,,,,,,
652,,,,,,,,
653,,,,,,,,
654,,,,,,,,
655,,,,,,,,
656,,,,,,,,
657,,,,,,,,
658,,,,,,,,
659,,,,,,,,
660,,,,,,,,
661,,,,,,,,
662,,,,,,,,
663,,,,,,,,
664,,,,,,,,
665,,,,,,,,
666,,,,,,,,
667,,,,,,,,
668,,,,,,,,
669,,,,,,,,
670,,,,,,,,
671,,,,,,,,
672,,,,,,,,
673,,,,,,,,
674,,,,,,,,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,,
678,,,,,,,,
679,,,,,,,,
680,,,,,,,,
681,,,,,,,,
682,,,,,,,,
683,,,,,,,,
684,,,,,,,,
685,,,,,,,,
686,,,,,,,,
687,,,,,,,,
688,,,,,,,,
689,,,,,,,,
690,,,,,,,,
691,,,,,,,,
692,,,,,,,,
693,,,,,,,,
694,,,,,,,,
695,,,,,,,,
696,,,,,,,,
697,,,,,,,,
698,,,,,,,,
699,,,,,,,,
700,,,,,,,,
701,,,,,,,,
702,,,,,,,,
703,EFL League One,M,,2002-2003,2025-2026,3rd,,engENG
704,EFL League Two,M,,2002-2003,2025-2026,4th,,engENG
705,National League,M,,2006-2007,2025-2026,5th,,engENG
706,3. Fußball-Liga,M,,2009-2010,2025-2026,3rd,,deGER
707,USL League One,M,,2020,2026,3rd,,usUSA
708,,,,,,,,
709,,,,,,,,
710,,,,,,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,,
715,,,,,,,,
716,,,,,,,,
717,,,,,,,,
718,,,,,,,,
719,,,,,,,,
720,,,,,,,,
721,,,,,,,,
722,,,,,,,,
723,,,,,,,,
724,,,,,,,,
725,,,,,,,,
726,,,,,,,,
727,,,,,,,,
728,,,,,,,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,FIFA World Cup Qualification — Inter-confederation play-offs,M,FIFA,2022,2026,1st,,
734,Africa Cup of Nations qualification,M,CAF,2015,2027,,,
735,FIFA World Cup Qualification — CAF,M,CAF,2002,2026,,,
736,FIFA World Cup Qualification — CONCACAF,M,CONCACAF,1998,2026,,,
737,FIFA World Cup Qualification — CONMEBOL,M,CONMEBOL,2002,2026,,,
738,FIFA World Cup Qualification — OFC,M,OFC,2014,2026,,,
739,FIFA World Cup Qualification — UEFA,M,UEFA,1998,2026,,,
740,UEFA European Football Championship Qualifying,M,UEFA,2008,2024,,,
741,FIFA Women's World Cup Qualification (UEFA),F,UEFA,2019,2027,,,
742,UEFA Women's Euro Qualification,F,UEFA,2017,2025,,,
743,AFC Asian Cup qualification,M,AFC,2000,2023,,,
744,FIFA World Cup Qualification — AFC,M,AFC,2002,2026,,,
745,AFC Women's Asian Cup qualification,F,AFC,2018,2026,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,,,
753,,,,,,,,
754,,,,,,,,
755,,,,,,,,
756,,,,,,,,
757,,,,,,,,
758,,,,,,,,
759,,,,,,,,
760,,,,,,,,
761,,,,,,,,
762,,,,,,,,
763,,,,,,,,
764,,,,,,,,
765,,,,,,,,
766,,,,,,,,
767,,,,,,,,
768,,,,,,,,
769,,,,,,,,
770,,,,,,,,
771,,,,,,,,
772,,,,,,,,
773,,,,,,,,
774,,,,,,,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,,,,
785,Copa de la Liga Profesional,M,,2020,2024,,,arARG
786,EFL Cup,M,,2014-2015,2025-2026,,,engENG
787,FA Community Shield,M,,2015,2025,,,engENG
788,FA Cup,M,,2014-2015,2025-2026,,,engENG
789,Copa del Rey,M,,2014-2015,2025-2026,,,esESP
790,Supercopa de España,M,,2015,2026,,,esESP
791,Coupe de France,M,,2014-2015,2025-2026,,,frFRA
792,Coupe de la Ligue,M,,2014-2015,2019-2020,,,frFRA
793,Trophée des Champions,M,,2014,2026,,,frFRA
794,DFB-Pokal,M,,2014-2015,2025-2026,,,deGER
795,Franz Beckenbauer Supercup,M,,2014,2025,,,deGER
796,DFB-Pokal Frauen,F,,2019-2020,2025-2026,,,deGER
797,Coppa Italia,M,,2014-2015,2025-2026,,,itITA
798,Supercoppa Italiana,M,,2014,2025,,,itITA
799,Lamar Hunt U.S. Open Cup,M,,2019,2026,,,usUSA
800,NWSL Challenge Cup,F,,2020,2024,,,usUSA
801,NWSL Fall Series,F,,2020,2020,,,usUSA
802,,,,,,,,
803,,,,,,,,
804,,,,,,,,
805,,,,,,,,
806,,,,,,,,
807,,,,,,,,
808,,,,,,,,
809,,,,,,,,
810,,,,,,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
814,,,,,,,,
815,,,,,,,,
816,,,,,,,,
817,,,,,,,,
818,,,,,,,,
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,,,,,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,,
828,,,,,,,,
829,,,,,,,,
830,,,,,,,,
831,,,,,,,,
832,,,,,,,,
833,,,,,,,,
834,,,,,,,,
835,,,,,,,,
836,,,,,,,,
837,,,,,,,,
838,,,,,,,,
839,,,,,,,,
840,,,,,,,,
841,,,,,,,,
842,,,,,,,,
843,,,,,,,,
844,,,,,,,,
845,,,,,,,,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,,,,,,,,
851,,,,,,,,
852,,,,,,,,
853,,,,,,,,
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,,
860,,,,,,,,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,,
864,,,,,,,,
865,,,,,,,,
866,,,,,,,,
867,,,,,,,,
868,,,,,,,,
869,,,,,,,,
870,,,,,,,,
871,,,,,,,,
872,,,,,,,,
873,,,,,,,,
874,,,,,,,,
875,,,,,,,,
876,,,,,,,,
877,,,,,,,,
878,,,,,,,,
879,,,,,,,,
880,,,,,,,,
881,,,,,,,,
882,,,,,,,,
883,,,,,,,,
884,,,,,,,,
885,,,,,,,,
886,,,,,,,,
887,Premier League 2,M,,2016-2017,2025-2026,1st,,engENG
888,Premier League 2 — Division 2,M,,2016-2017,2022-2023,2nd,,engENG
889,U17 DFB Youth League,M,,2016-2017,2025-2026,1st,,deGER
890,U19 DFB Youth League,M,,2015-2016,2025-2026,1st,,deGER
891,,,,,,,,
892,,,,,,,,
893,,,,,,,,
894,,,,,,,,
895,,,,,,,,
896,,,,,,,,
897,,,,,,,,
898,,,,,,,,
899,,,,,,,,
900,,,,,,,,
901,,,,,,,,
902,,,,,,,,
903,,,,,,,,
904,,,,,,,,
905,,,,,,,,
906,,,,,,,,
907,,,,,,,,
908,,,,,,,,
909,,,,,,,,
910,,,,,,,,
